super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
2722,Fordham University,New York,NY,113300,63300,.076365903,.047085628,.52093887,.04033177,.039781969,.003079972,-.018139461,-.040625483,1394.666666666667
2712,D'Youville College,Buffalo,NY,75800,45200,.14159825,.0037063274,.2801111,.00073539396,.039663244,.0001041305,-.048807763,-.10158685,107.6666666666667
2424,Mississippi Valley State University,Greenwood,MS,28800,24900,.45458764,.00050522102,.086832456,.000082420556,.03947296,.000037467365,-.19967097,-.074589357,314
1328,University Of Southern California,Los Angeles,CA,120100,63700,.072092436,.10021389,.54554594,.045414045,.039329737,.0032740091,-.02813071,-.064355575,3052.666666666667
1910,Coffeyville Community College,Bartlesville,KS,40700,24100,.28458995,.0012095643,.13785735,.016140874,.039232817,.0045935307,-.08204256,-.21299773,160
7287,Brazosport College,Pearland,TX,74000,35700,.13677046,.00082002924,.28556961,.0037613246,.039057486,.00051443808,-.032902341,-.013360261,603.6666666666666
10633,Houston Community College,Houston,TX,49200,31400,.21898758,.0046544774,.17777587,.0031611766,.03893071,.00069225841,-.00071483181,.029283786,3907.5
2911,Bennett College,Greensboro,NC,50000,33400,.18299079,.0030557732,.21229878,0,.03884872,0,-.011458517,.0027779783,126
35424,Copper Mountain College,Los Angeles,CA,50100,27100,.22266489,.0027258706,.17435397,.00045363439,.038822509,.00010100845,.011131202,-.0016948986,327
2926,Elizabeth City State University,Virginia Beach,NC,37400,31000,.3210327,0,.12077756,1.7424319e-06,.038773548,5.5937761e-07,-.10235971,-.018028053,334.6666666666667
218,Poster & Chester Institute,Bridgeport,CT,62500,31700,.14433408,.0022941858,.26831087,.00034402832,.038726404,.000049655009,.096208625,.090632029,217
2498,Park University,Kansas City,MO,65300,43600,.14047748,.0048766648,.27556312,.000017182672,.038710412,2.4137785e-06,-.021391349,-.031562682,543
5208,College Of Westchester ,New York,NY,55800,34900,.19217539,.0044669518,.20060772,.0005552115,.038551867,.00010669799,.022057524,.051640332,176
1157,"California State University, Stanislaus",Modesto,CA,72300,44800,.13350467,.0032910339,.28875419,.00033976525,.038550034,.000045360248,-.025825417,-.035734922,603
11644,University Of Maryland University College,Washington DC,MD,53900,40100,.18132535,.0021478515,.21250486,.0022919038,.038532518,.00041558026,-.064771466,-.13002659,4740.666666666667
3584,Letourneau University,Longview,TX,85700,49300,.089892775,.01761058,.425354,.027773088,.038236253,.0024965999,-.024021169,-.066285081,263
4799,Monroe College,New York,NY,28200,20400,.43616086,.00044881387,.087579586,0,.038198788,0,-.074665777,-.12055316,928.3333333333334
31155,Adventist University Of Health Sciences,Orlando,FL,62900,39200,.12763435,.00058265973,.29661635,.000598468,.037858434,.000076385069,-.046064455,-.0641561,120.5
1441,University Of The District Of Columbia,Washington DC,DC,40000,30100,.24706466,.00023529911,.152951,0,.03778879,0,-.033723872,-.070136376,349.6666666666667
1469,Florida Institute Of Technology,Palm Bay,FL,86300,59600,.073299572,.011676306,.5116753,.041038636,.037505582,.0030081144,.080708012,.12865579,327
2629,"Rutgers, The State University Of New Jersey",Newark,NJ,101000,58400,.079205558,.011834799,.47305751,.025410457,.037468784,.0020126493,-.012149863,-.030880321,6600.666666666667
4003,Central Texas College District,Killeen,TX,51800,37200,.19599943,.0010901452,.190961,.0010991739,.037428249,.00021543745,-.045282908,-.056717154,4605
2790,Nyack College,Newark,NY,58400,31000,.18072,.0048255036,.20677118,0,.037367687,0,.025434108,.024319952,262.6666666666667
1253,Fresno Pacific University,Fresno,CA,71100,37900,.10072254,.0038235998,.36892948,.00055573566,.037159514,.000055975106,-.015922371,-.05178294,160.6666666666667
12358,Plaza College,New York,NY,29100,18800,.44500974,.00050522102,.083288878,.0047934861,.037064362,.002133148,-.041582845,-.12971675,159
2846,State University Of New York At New Paltz,Poughkeepsie,NY,91900,46300,.098972023,.0031816196,.37273386,.01566584,.036890224,.0015504799,-.046111707,-.067876153,842
3563,Del Mar College,Corpus Christi,TX,52900,30100,.22380438,.0024616714,.16410892,.00011262381,.036728296,.000025205703,-.042844195,-.034009047,1899.666666666667
1151,San Diego State University,San Diego,CA,100500,51000,.089785799,.018647347,.4078413,.01866205,.036618356,.0016755871,-.019203054,-.029022053,3196.333333333333
2020,University Of Louisiana At Monroe,Monroe,LA,59700,35000,.2035144,.0047688931,.17991072,.0071950369,.036614422,.0014642936,-.082404278,-.06591469,1051
2713,Dominican College Of Blauvelt,Newark,NY,88900,48900,.075897068,.0043007862,.48201898,.027854118,.036583826,.0021140459,.032527413,-.02281018,140
1694,Chicago State University,Chicago,IL,43700,31900,.25747424,.00051270897,.14182775,.00012042783,.036516991,.000031007065,-.011236805,.040197637,417
2866,Fashion Institute Of Technology,New York,NY,79800,36700,.1286495,.018414009,.28359839,.0063694944,.036484793,.00081943226,-.056250077,-.11194515,1208.333333333333
13029,Boricua College,New York,NY,28900,23200,.46651521,.0012511555,.077926137,.00028288894,.03635373,.00013197199,-.045999218,.00073042826,92.5
1526,Saint Leo University,Tampa,FL,57300,38000,.18977496,.0038098202,.19150831,.0077829254,.036343481,.0014770044,-.06716951,-.11700923,694
94,ITT Technical Institute,Indianapolis,IN,52600,35600,.19454643,.0024701527,.18680421,.0016852589,.036342092,.00032786111,.04011441,.072497919,8164
1691,Illinois Institute Of Technology,Chicago,IL,91600,72300,.060009461,.0143293,.60558742,.045524489,.036340974,.0027319,.015553525,.013136578,244.6666666666667
1216,University Of La Verne,Los Angeles,CA,72300,48600,.12084086,.010273737,.30038503,.0098295677,.036298785,.0011878135,-.023146898,-.056973416,285.3333333333333
3504,Martin Methodist College,Columbia,TN,62000,37000,.191098,.00068146858,.18984328,.00053681683,.036278673,.00010258463,-.065387532,-.094820976,66
2785,New York University,New York,NY,130500,58100,.069385424,.088063702,.5227713,.074537717,.036272708,.0051718312,-.016678948,-.032508403,3738.666666666667
2835,State University Of New York At Albany,Albany,NY,98000,56300,.083287805,.0081296135,.43444028,.027103275,.036183577,.0022573723,-.0038194475,-.020655418,2213
18,San Francisco Community College District,San Francisco,CA,53400,33000,.18398702,.003901094,.19634426,.0035436754,.036124796,.0006519903,.01086077,-.042909581,2076.333333333333
2533,Montana State University - Northern,Havre,MT,56100,33600,.15079901,.002524595,.23936847,0,.036096528,0,-.044454388,-.1140697,232.3333333333333
10286,SUNY Empire State College,Albany,NY,76000,39000,.14019026,.0051000831,.2570464,.00014686624,.0360354,.000020589216,-.022663342,-.025276924,202.3333333333333
3598,Our Lady Of The Lake University,San Antonio,TX,46000,38800,.22076452,0,.16320996,.00035214541,.036030967,.000077741213,-.030956645,.0067922161,242.6666666666667
